__time,/LCQP_controller_multipleObstacle/distance/data.0,/LCQP_controller_multipleObstacle/distance/data.1,/LCQP_controller_multipleObstacle/distance/data.10,/LCQP_controller_multipleObstacle/distance/data.11,/LCQP_controller_multipleObstacle/distance/data.12,/LCQP_controller_multipleObstacle/distance/data.13,/LCQP_controller_multipleObstacle/distance/data.14,/LCQP_controller_multipleObstacle/distance/data.2,/LCQP_controller_multipleObstacle/distance/data.3,/LCQP_controller_multipleObstacle/distance/data.4,/LCQP_controller_multipleObstacle/distance/data.5,/LCQP_controller_multipleObstacle/distance/data.6,/LCQP_controller_multipleObstacle/distance/data.7,/LCQP_controller_multipleObstacle/distance/data.8,/LCQP_controller_multipleObstacle/distance/data.9,/LCQP_controller_multipleObstacle/distance/layout/data_offset,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/panda_finger_joint1/effort,/joint_states/panda_finger_joint1/position,/joint_states/panda_finger_joint1/velocity,/joint_states/panda_finger_joint2/effort,/joint_states/panda_finger_joint2/position,/joint_states/panda_finger_joint2/velocity,/joint_states/panda_joint1/effort,/joint_states/panda_joint1/position,/joint_states/panda_joint1/velocity,/joint_states/panda_joint2/effort,/joint_states/panda_joint2/position,/joint_states/panda_joint2/velocity,/joint_states/panda_joint3/effort,/joint_states/panda_joint3/position,/joint_states/panda_joint3/velocity,/joint_states/panda_joint4/effort,/joint_states/panda_joint4/position,/joint_states/panda_joint4/velocity,/joint_states/panda_joint5/effort,/joint_states/panda_joint5/position,/joint_states/panda_joint5/velocity,/joint_states/panda_joint6/effort,/joint_states/panda_joint6/position,/joint_states/panda_joint6/velocity,/joint_states/panda_joint7/effort,/joint_states/panda_joint7/position,/joint_states/panda_joint7/velocity
1709656043.933992,,,,,,,,,,,,,,,,,24.000000000,1709656043.933549881,0.000000000,0.033855762,0.000000000,0.000000000,0.033855762,0.000000000,-0.208655357,0.015502642,0.025755038,-4.463289261,-0.742463680,0.078905938,-0.821392655,0.019468478,0.035760835,22.451045990,-2.357069260,-0.001308258,0.835070789,0.007319389,0.001771030,2.552671909,1.587937295,0.034690936,-0.100523986,0.789581429,0.000132338
1709656043.953115,0.481779089,0.658246780,0.618740948,0.295246924,0.494232487,0.626150661,0.365326062,0.428789757,0.485905292,0.457619317,0.192760053,0.608702513,0.621819869,0.156771236,0.471129582,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709656043.967155,,,,,,,,,,,,,,,,,25.000000000,1709656043.966883898,0.000000000,0.033855762,0.000000000,0.000000000,0.033855762,0.000000000,-0.089636803,0.016317744,0.020933770,-4.463289261,-0.739700579,0.080410195,-0.702374101,0.020582148,0.035711799,22.451045990,-2.357053625,0.001342283,0.846972644,0.007630250,0.015703834,2.545347691,1.588978348,0.032437530,-0.115172423,0.789586283,0.001112776
1709656043.986536,0.481779089,0.657793000,0.618096366,0.294909132,0.494232487,0.625612490,0.364015777,0.427483871,0.485685081,0.456880955,0.192168328,0.608702513,0.620956220,0.155874169,0.471129582,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709656044.000585,,,,,,,,,,,,,,,,,26.000000000,1709656044.000251055,0.000000000,0.033855762,0.000000000,0.000000000,0.033855762,0.000000000,-0.168982506,0.017192119,0.021760743,-4.709260941,-0.736891070,0.085910857,-0.742046952,0.021689722,0.031538337,22.530391693,-2.357031582,-0.000645746,0.829577625,0.007937788,0.006793172,2.545347691,1.590071096,0.031117239,-0.115172423,0.789585105,0.000306318
1709656044.020734,0.481779089,0.657341355,0.617449027,0.294600884,0.494232487,0.625076799,0.362693727,0.426169593,0.485464017,0.456146115,0.191557411,0.608702513,0.620093232,0.154977705,0.471129582,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709656044.033973,,,,,,,,,,,,,,,,,27.000000000,1709656044.033623934,0.000000000,0.033855762,0.000000000,0.000000000,0.033855762,0.000000000,-0.248328209,0.018136070,0.029991882,-4.911592484,-0.734056827,0.078699903,-0.742046952,0.022828332,0.030707712,22.570064545,-2.356978021,0.002137489,0.835070789,0.008239177,0.013648314,2.545347691,1.591153044,0.028339855,-0.079466857,0.789581949,-0.001120870
1709656044.054583,0.481779089,0.656896260,0.616811999,0.294316660,0.494232487,0.624549251,0.361394036,0.424879387,0.485244345,0.455423632,0.190951417,0.608702513,0.619244387,0.154101748,0.471129582,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709656044.067535,,,,,,,,,,,,,,,,,28.000000000,1709656044.066884041,0.000000000,0.033855762,0.000000000,0.000000000,0.033855762,0.000000000,-0.208655357,0.019102467,0.026184237,-4.828279495,-0.731301580,0.080079371,-0.781719804,0.023949671,0.031424325,22.649410248,-2.356928152,0.004652863,0.841479480,0.008535559,0.014641549,2.545347691,1.592213858,0.026040800,-0.115172423,0.789582755,0.001285766
1709656044.088608,0.481779089,0.656428888,0.616163656,0.294042824,0.494232487,0.623996936,0.360132203,0.423631028,0.485011492,0.454671581,0.190358143,0.608702513,0.618369447,0.153212420,0.471129582,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
